127.0.0.1 - - [10/May/2024:20:32:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:26 +0700] "GET /hoangkimmobile/WEB-INF/classes/service/impl/AccountService.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:26 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/ HTTP/1.1" 200 24324
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/style.css HTTP/1.1" 200 59824
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/custom.css HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/responsive.css HTTP/1.1" 200 7154
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/bootstrap-select.js HTTP/1.1" 200 88315
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/bootstrap.min.js HTTP/1.1" 200 50731
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/inewsticker.js HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/all.css HTTP/1.1" 200 57672
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/jquery.superslides.min.js HTTP/1.1" 200 7882
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/popper.min.js HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/code_animate.css HTTP/1.1" 200 69727
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/bootstrap-select.css HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/carousel-ticker.css HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/superslides.css HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/bootsnav.css HTTP/1.1" 200 34939
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/jquery-ui.css HTTP/1.1" 200 35973
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/css/baguetteBox.min.css HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/bootsnav.js HTTP/1.1" 200 27046
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/images-loded.min.js HTTP/1.1" 200 5559
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/isotope.min.js HTTP/1.1" 200 35313
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/baguetteBox.min.js HTTP/1.1" 200 9211
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/form-validator.min.js HTTP/1.1" 200 6055
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/contact-form-script.js HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/custom.js HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/js/offer.js HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/image/iphone1.jpg HTTP/1.1" 200 203493
